H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,time
True,True,False,True,True,True,False,True,True,40,1,2.281
True,False,False,False,False,False,True,False,False,40,1,2.6910000000000003
True,False,False,True,False,True,False,True,False,60,5,3.0660000000000003
True,True,False,True,True,True,False,False,True,60,9,4.967
True,True,False,True,True,True,False,True,True,40,5,2.672
True,False,False,True,True,True,True,False,False,40,5,4.447
True,False,False,True,True,True,True,True,False,20,1,2.885
True,True,False,True,True,True,False,False,False,40,1,2.238
True,False,False,True,True,True,True,False,False,40,1,2.801
True,True,False,False,False,True,False,False,True,20,9,4.4430000000000005
True,True,False,True,True,True,False,False,False,40,9,4.885
True,True,False,True,True,True,False,True,False,20,5,2.536
True,True,False,True,False,True,True,False,False,40,5,3.975
True,True,False,False,False,True,False,False,True,20,5,3.1710000000000003
True,True,False,True,True,True,False,True,False,20,1,2.151
True,True,False,True,True,True,False,False,False,40,5,3.554
True,True,False,False,False,True,False,False,True,20,1,2.003
True,False,False,True,False,False,True,False,True,40,1,2.737
True,False,False,True,True,True,True,True,False,20,9,3.954
True,False,False,True,True,True,True,False,False,40,9,5.91
True,False,False,True,True,True,True,True,False,20,5,3.373
True,False,False,True,False,False,True,True,True,20,9,3.907
True,False,False,True,False,False,True,False,True,40,5,4.3439999999999985
True,True,False,False,True,False,True,True,False,40,9,3.499
True,False,False,True,False,False,True,True,True,20,1,2.739
True,True,False,False,True,True,False,True,False,40,1,2.224
True,True,False,False,True,True,False,False,False,60,5,3.697
True,False,False,True,False,False,True,False,True,40,9,5.8660000000000005
True,False,False,True,False,False,True,True,True,20,5,3.3280000000000003
True,True,False,False,True,True,False,False,False,60,1,2.331
True,True,False,True,True,True,False,True,True,60,9,3.372
True,True,False,False,True,True,False,True,False,40,9,3.313
True,True,False,False,True,True,False,True,False,40,5,2.627
True,True,False,True,True,True,False,True,False,20,9,3.112
True,False,False,False,False,False,False,True,False,20,1,2.172
True,True,False,False,True,True,False,False,False,60,9,4.957
True,True,False,True,True,True,False,True,True,60,1,2.422
True,True,False,True,True,True,False,True,True,60,5,2.837
True,False,False,True,True,True,True,False,False,20,1,2.802
True,False,False,False,True,False,False,True,True,20,9,3.256
True,True,False,True,False,False,False,False,False,40,1,2.199
True,False,False,False,True,True,True,False,False,60,9,5.948
True,False,False,True,False,False,True,True,False,60,9,3.856
True,False,False,False,True,True,True,True,False,40,5,3.279
True,False,False,False,True,True,True,True,False,40,9,3.906
True,True,False,True,False,True,True,False,False,40,9,5.381
True,False,False,True,False,False,True,False,True,60,1,2.76
True,False,False,True,True,True,True,False,False,20,9,5.852
True,False,False,False,True,True,True,False,False,60,1,2.795
True,False,False,True,False,False,True,True,False,60,1,2.698
True,False,False,True,True,True,True,False,False,20,5,4.455
True,False,False,True,False,False,True,True,False,60,5,3.3080000000000003
True,False,False,False,True,True,True,False,False,60,5,4.522
True,False,False,False,True,True,True,True,False,40,1,2.757
True,True,False,False,True,False,True,False,True,20,1,2.418
True,False,False,True,False,False,True,True,True,40,9,3.896
True,False,False,False,True,False,False,False,False,60,9,5.296
True,True,False,False,True,False,True,False,True,20,5,4.057
True,True,False,True,False,False,False,True,True,60,9,3.219
True,True,False,False,True,False,True,False,True,20,9,5.473
True,False,False,True,False,False,True,False,True,60,5,4.441
True,False,False,True,False,False,True,True,True,40,1,2.764
True,False,False,True,False,False,True,False,True,60,9,5.7879999999999985
True,False,False,True,False,False,True,True,True,40,5,3.297
True,True,False,True,False,False,False,False,False,40,5,3.353
True,True,False,True,True,True,False,False,True,20,9,4.712
True,True,False,True,False,False,False,True,False,20,1,2.019
True,False,False,True,True,True,True,False,True,40,1,2.8360000000000003
True,False,False,False,False,False,False,True,False,20,5,2.733
True,False,False,False,True,False,False,True,True,40,9,3.446
True,False,False,False,True,False,False,False,True,60,9,5.384
True,True,False,True,False,False,False,False,False,40,9,4.468
True,False,False,False,True,False,False,True,True,40,5,2.912
True,True,False,True,False,False,False,True,False,20,5,2.408
True,False,False,False,True,False,False,False,True,60,5,4.027
True,True,False,True,False,False,False,True,True,60,5,2.63
True,True,False,True,True,True,False,False,True,20,1,2.131
True,False,False,False,True,False,False,True,True,40,1,2.496
True,True,False,True,False,False,False,True,False,20,9,2.928
True,False,False,False,False,True,True,False,False,20,1,2.6830000000000003
True,False,False,False,True,False,False,False,True,60,1,2.604
True,True,False,True,False,False,False,True,True,60,1,2.3280000000000003
True,True,False,True,True,True,False,False,True,20,5,3.42
True,True,False,True,True,True,False,False,True,60,1,2.386
True,True,False,True,False,False,False,False,False,60,1,2.3080000000000003
True,True,False,True,False,False,False,False,False,60,5,3.4560000000000004
True,True,False,True,False,False,False,True,False,40,1,2.18
True,False,False,True,False,False,True,False,False,60,9,5.787000000000001
True,False,False,True,False,False,True,True,False,40,5,3.318
True,False,False,False,True,True,True,True,False,60,9,3.913
True,False,False,False,True,False,False,False,False,60,5,3.898
True,False,False,True,True,True,True,False,True,20,5,4.573
True,False,False,True,False,False,True,True,False,40,9,3.883
True,False,False,True,False,False,True,True,True,60,1,2.72
True,False,False,True,True,True,True,False,True,20,1,2.837
True,False,False,False,True,True,True,True,False,60,1,2.815
True,False,False,True,False,False,True,False,False,60,1,2.718
True,False,False,False,True,True,True,True,False,60,5,3.32
True,False,False,True,False,False,True,False,False,60,5,4.3660000000000005
True,False,False,True,False,False,True,True,False,40,1,2.735
True,True,False,False,True,False,True,False,True,60,1,2.457
True,False,False,False,False,False,False,True,False,20,9,3.214
True,True,False,False,True,False,True,False,True,40,1,2.422
True,True,False,False,True,False,True,True,True,20,1,2.407
True,True,False,False,True,False,True,False,True,40,5,4.033
True,False,False,True,False,False,True,True,True,60,5,3.344
True,True,False,False,True,False,True,True,True,20,5,2.86
True,True,False,False,True,False,True,False,True,40,9,5.505
True,False,False,True,False,False,True,True,True,60,9,3.853
True,False,False,True,True,True,True,False,True,20,9,5.857
True,True,False,False,True,False,True,True,True,20,9,3.49
True,True,False,True,True,True,False,False,True,40,9,4.88
True,False,False,False,False,True,True,False,False,20,5,4.484
True,True,False,True,False,False,False,False,False,60,9,4.473
True,True,False,True,False,False,False,True,False,40,5,2.546
True,False,False,False,True,False,False,True,True,20,5,2.782
True,True,False,True,True,True,False,True,True,20,5,2.5580000000000003
True,False,False,False,True,False,False,False,True,40,9,5.1560000000000015
True,False,False,False,True,False,False,True,True,20,1,2.341
True,True,False,True,False,False,False,True,False,40,9,3.084
True,True,False,True,True,True,False,True,True,20,9,3.2110000000000003
True,False,False,False,True,False,False,False,True,40,5,3.86
True,True,False,True,True,True,False,False,True,40,1,2.332
True,False,False,False,False,True,False,False,True,60,9,5.142
True,False,False,False,True,False,False,False,True,40,1,2.496
True,True,False,True,True,True,False,False,True,40,5,3.536
True,True,False,True,True,True,False,True,True,20,1,2.11
True,False,False,False,True,False,False,False,False,60,1,2.5660000000000003
True,False,False,False,False,True,True,False,False,20,9,5.791
True,False,False,False,False,True,False,False,True,60,5,3.869
True,True,False,False,True,True,True,True,False,20,9,3.412
True,True,False,False,True,False,False,True,True,40,5,2.553
True,False,False,False,False,True,False,False,True,60,1,2.49
True,True,False,False,False,True,True,True,True,40,5,2.91
True,True,False,False,False,True,True,True,True,40,9,3.447
True,True,False,False,True,True,True,True,False,20,1,2.4330000000000003
True,True,False,False,True,True,False,True,True,60,5,2.7910000000000004
True,True,False,False,True,True,True,True,False,20,5,2.909
True,True,False,False,True,True,False,True,True,60,1,2.4130000000000003
True,True,False,False,True,True,False,True,True,40,9,3.3280000000000003
True,False,False,False,False,False,True,False,False,60,9,5.914
True,False,False,False,False,True,True,False,True,20,1,2.698
True,True,False,True,False,True,False,False,True,40,5,3.337
True,False,False,True,True,True,False,True,False,40,9,3.717
True,True,False,True,False,True,True,False,False,60,1,2.351
True,False,False,False,False,True,True,False,True,20,5,4.384
True,True,False,False,True,False,True,True,False,60,1,2.426
True,False,False,True,True,True,False,True,False,40,5,3.016
True,True,False,True,False,True,True,False,False,60,5,3.996
True,False,False,False,False,True,True,False,True,20,9,5.8439999999999985
True,True,False,False,True,False,True,True,False,60,5,2.883
True,False,False,False,False,False,True,False,False,60,5,4.47
True,True,False,True,False,True,True,False,False,60,9,5.285
True,False,False,False,True,True,False,False,False,20,9,5.2029999999999985
True,True,False,False,True,False,True,True,False,60,9,3.4810000000000003
True,False,False,False,False,False,False,True,False,40,1,2.349
True,False,False,False,False,False,True,False,False,60,1,2.636
True,False,False,False,False,False,False,True,False,40,5,2.8360000000000003
True,False,False,True,True,False,True,False,True,20,9,5.88
True,False,False,False,False,True,False,False,True,40,9,5.072
True,False,False,False,False,False,False,True,False,40,9,3.339
True,False,False,True,True,False,True,False,True,20,5,4.516
True,True,False,True,False,False,False,False,True,20,9,4.45
True,False,False,False,False,True,False,False,True,40,5,3.738
True,False,False,False,False,False,False,True,False,60,1,2.483
True,False,False,True,True,True,False,True,False,60,5,3.076
True,False,False,False,False,True,False,False,True,40,1,2.377
True,True,False,False,True,True,True,False,True,60,9,5.461
True,False,False,True,True,True,False,True,False,60,1,2.639
True,True,False,False,True,True,True,False,True,60,5,4.023
True,True,False,False,False,True,True,True,True,20,1,2.327
True,True,False,False,True,True,True,False,True,60,1,2.42
True,True,False,False,False,True,True,True,True,20,5,2.8760000000000003
True,True,False,False,True,True,False,True,True,40,5,2.658
True,True,False,False,False,True,True,True,True,20,9,3.377
True,True,False,False,True,False,False,True,True,40,1,2.193
True,False,False,True,True,False,True,False,True,20,1,2.798
True,True,False,True,False,False,False,False,True,20,5,3.178
True,True,False,False,True,True,False,True,True,40,1,2.255
True,True,False,True,False,False,False,False,True,20,1,1.992
True,False,False,False,False,False,True,False,True,60,5,4.423
True,True,False,True,False,True,False,True,False,40,5,2.628
True,True,False,True,False,True,False,False,False,60,9,4.767
True,False,False,True,True,False,False,True,False,40,9,3.528
True,False,False,False,False,False,True,False,True,60,9,5.849
True,True,False,True,False,True,False,False,False,60,5,3.527
True,True,False,True,False,True,False,False,True,40,1,2.225
True,True,False,True,False,True,False,True,False,40,1,2.16
True,False,False,True,True,False,False,True,False,40,5,3.002
True,True,False,True,False,True,False,False,False,60,1,2.357
True,False,False,True,True,False,False,True,False,40,1,2.544
True,False,False,False,False,False,True,False,True,60,1,2.641
True,False,False,False,False,True,True,False,True,40,1,2.684
True,False,False,False,False,True,True,False,True,40,5,4.392
True,False,False,False,False,True,True,False,True,40,9,5.801
True,True,False,True,False,True,False,True,False,40,9,3.235
True,False,False,False,False,False,False,False,True,40,1,2.344
True,False,False,False,True,True,False,False,False,20,5,3.794
True,False,False,False,False,False,False,True,True,20,1,2.172
True,False,False,False,False,False,False,False,True,40,5,3.735
True,True,False,True,True,False,False,False,False,20,9,4.8039999999999985
True,False,False,False,False,False,False,True,True,20,5,2.718
True,False,False,False,False,False,False,False,True,40,9,5.0310000000000015
True,False,False,False,False,True,True,False,True,60,1,2.694
True,True,False,True,True,False,False,False,False,20,5,3.419
True,False,False,False,False,False,False,True,True,20,9,3.284
True,False,False,True,True,False,True,True,False,60,5,3.303
True,True,False,True,True,False,False,False,False,20,1,2.12
True,False,False,False,False,False,False,True,False,60,5,2.94
True,False,False,True,True,False,True,True,False,60,1,2.812
True,False,False,True,True,False,True,True,False,60,9,3.938
True,False,False,False,False,False,True,False,False,20,9,5.876
True,False,False,True,True,False,False,True,False,20,9,3.391
True,True,False,True,False,True,False,True,False,20,5,2.462
True,True,False,True,False,True,False,False,False,40,9,4.677
True,True,False,True,True,False,True,True,True,60,9,3.49
True,False,False,False,False,False,True,False,False,20,5,4.364
True,False,False,True,True,False,False,True,False,20,5,2.857
True,True,False,True,False,True,False,True,False,20,1,2.046
True,True,False,False,True,True,False,True,True,20,5,2.47
True,False,False,True,True,False,True,False,True,40,9,5.909
True,True,False,True,False,True,False,False,False,40,5,3.4
True,False,False,True,True,False,False,True,False,20,1,2.385
True,True,False,True,False,True,False,False,False,40,1,2.194
True,False,False,False,False,True,True,False,True,60,5,4.386
True,False,False,False,False,True,True,False,True,60,9,5.8210000000000015
True,True,False,True,True,False,True,True,True,60,5,2.92
True,False,False,False,False,False,True,False,False,20,1,2.688
True,True,False,True,True,False,True,True,True,60,1,2.52
True,True,False,True,False,True,False,True,False,20,9,3.068
True,False,False,False,False,False,False,False,True,60,1,2.519
True,True,False,False,True,False,True,False,True,60,5,4.073
True,False,False,False,False,False,False,True,True,40,1,2.339
True,False,False,False,False,False,False,False,True,60,5,3.82
True,True,False,True,True,False,False,False,False,40,9,4.6960000000000015
True,False,False,False,False,False,False,True,True,40,5,2.873
True,False,False,False,False,False,False,False,True,60,9,5.045
True,True,False,True,True,False,False,False,False,40,5,3.5980000000000003
True,False,False,False,False,False,False,True,True,40,9,3.318
True,True,False,True,True,False,False,False,False,40,1,2.299
True,False,False,False,False,False,True,False,True,20,1,2.645
True,True,False,False,False,True,True,True,False,60,1,2.333
True,False,False,False,False,True,True,False,False,60,1,2.659
True,True,False,True,False,True,False,False,False,20,5,3.238
True,False,False,True,True,False,False,True,True,60,1,2.667
True,True,False,False,False,True,True,True,False,60,5,2.799
True,False,False,False,False,False,True,False,True,20,5,4.384
True,True,False,True,False,True,False,False,False,20,1,2.024
True,True,False,False,False,True,True,True,False,60,9,3.3760000000000003
True,False,False,True,False,True,True,True,True,20,1,2.764
True,False,False,True,False,True,True,True,True,20,9,3.909
True,False,False,True,False,True,True,True,True,20,5,3.343
True,True,False,True,False,True,False,False,False,20,9,4.4060000000000015
True,False,False,False,True,False,False,False,False,20,5,3.815
True,True,False,False,False,False,True,True,True,40,5,2.8280000000000003
True,True,False,False,False,False,True,True,True,40,9,3.437
True,True,False,False,False,False,True,True,True,40,1,2.282
True,True,False,True,True,False,False,False,False,60,9,4.854
True,False,False,True,True,False,True,True,False,20,1,2.809
True,False,False,True,True,False,True,False,False,40,5,4.489
True,True,False,True,True,False,False,False,False,60,5,3.613
True,False,False,True,True,False,True,False,False,40,1,2.898
True,True,False,False,False,False,False,False,False,20,1,1.99
True,True,False,True,True,False,False,False,False,60,1,2.371
True,False,False,False,False,False,False,True,False,60,9,3.492
True,False,False,True,True,False,True,True,False,20,9,3.921
True,True,False,False,False,False,False,False,False,20,5,3.172
True,False,False,True,True,False,False,True,True,60,9,3.641
True,False,False,True,True,False,True,False,False,40,9,5.907
True,False,False,True,True,False,True,True,False,20,5,3.385
True,True,False,False,False,False,False,False,False,20,9,4.392
True,False,False,True,True,False,False,True,True,60,5,3.037
True,False,False,False,False,False,True,False,True,40,5,4.396
True,False,False,True,True,False,False,True,False,60,9,3.562
True,False,False,False,False,False,True,False,True,40,9,5.9460000000000015
True,False,False,True,True,False,True,False,True,40,5,4.488
True,False,False,True,True,False,False,True,False,60,5,3.053
True,False,False,True,True,False,True,False,False,60,1,2.795
True,False,False,False,False,False,True,False,True,40,1,2.642
True,False,False,True,True,False,False,True,False,60,1,2.625
True,True,False,True,False,True,False,False,True,20,9,4.5539999999999985
True,True,False,True,False,True,False,False,True,20,5,3.3160000000000003
True,True,False,True,False,True,False,False,True,20,1,1.978
True,True,False,True,False,True,True,False,True,20,1,2.36
True,True,False,False,False,False,True,True,True,20,5,2.819
True,True,False,False,False,False,True,True,True,20,9,3.37
True,True,False,True,False,False,False,False,True,40,9,4.463
True,True,False,True,False,True,True,False,True,20,9,5.325
True,False,False,False,False,False,False,False,True,20,1,2.195
True,True,False,False,False,False,True,True,True,20,1,2.322
True,True,False,True,False,True,True,False,True,20,5,3.993
True,False,False,False,False,False,False,False,True,20,5,3.6
True,False,False,False,False,True,False,True,False,60,5,3.036
True,False,False,True,True,False,True,False,False,60,9,5.8889999999999985
True,False,False,True,True,False,True,True,False,40,5,3.359
True,False,False,False,False,False,False,False,True,20,9,4.816
True,False,False,False,False,True,False,True,False,60,9,3.613
True,True,False,False,True,False,True,False,True,60,9,5.443
True,False,False,True,True,False,True,True,False,40,1,2.85
True,False,False,True,True,False,True,False,False,60,5,4.454
True,False,False,False,False,False,True,False,True,20,9,5.774
True,False,False,False,False,True,False,True,False,60,1,2.47
True,False,False,True,True,False,True,True,False,40,9,3.838
True,True,False,False,True,False,False,False,True,60,1,2.399
True,False,False,True,False,False,False,True,True,60,9,3.448
True,False,False,False,True,False,True,False,False,40,9,5.892
True,True,False,False,False,True,True,True,False,20,1,2.34
True,False,False,True,False,False,False,True,True,60,5,2.923
True,False,False,False,False,True,True,False,False,60,5,4.416
True,True,False,False,False,True,True,True,False,20,5,2.892
True,False,False,True,True,True,False,False,True,20,9,5.184
True,True,False,True,False,False,True,False,True,60,9,5.459
True,True,False,False,False,True,True,True,False,20,9,3.39
True,False,False,True,True,True,False,False,True,20,1,2.386
True,True,False,True,False,True,False,True,True,20,9,3.114
True,False,False,True,True,True,False,False,True,20,5,4.009
True,True,False,True,False,True,False,True,True,20,5,2.457
True,False,False,True,False,False,False,False,False,20,1,2.221
True,True,False,False,True,False,False,False,True,60,9,4.887
True,False,False,False,True,False,False,False,False,20,1,2.327
True,True,False,True,False,True,False,True,True,20,1,2.047
True,False,False,True,False,False,False,True,True,60,1,2.597
True,False,False,True,False,False,False,False,False,20,5,3.693
True,True,False,False,True,False,False,False,True,60,5,3.612
True,False,False,True,False,False,False,False,False,20,9,5.002
True,False,False,True,True,False,True,True,True,20,5,3.349
True,True,False,True,True,False,False,False,True,20,5,3.364
True,False,False,False,True,True,False,False,True,60,9,5.479
True,False,False,True,True,False,True,True,True,20,1,2.902
True,True,False,False,False,False,True,True,False,40,9,3.52
True,False,False,True,False,True,True,True,True,60,5,3.357
True,False,False,False,False,True,True,False,False,60,9,5.88
True,True,False,True,True,False,False,False,True,20,1,2.065
True,False,False,False,True,True,False,False,True,60,5,4.013
True,True,False,False,True,True,True,True,True,20,9,3.556
True,False,False,True,True,False,True,True,True,20,9,3.924
True,True,False,False,True,True,True,True,True,20,5,2.952
True,False,False,False,False,True,False,False,False,60,9,5.193
True,True,False,False,True,True,True,True,True,20,1,2.4290000000000003
True,False,False,False,True,False,True,False,False,60,1,2.737
True,False,False,False,True,False,True,False,False,60,5,4.44
True,False,False,False,False,True,False,False,False,60,1,2.498
True,True,False,False,True,True,True,False,True,40,9,5.45
True,True,False,False,False,False,True,True,False,40,5,2.905
True,False,False,False,False,True,False,False,False,60,5,3.839
True,False,False,False,True,False,True,False,False,60,9,5.901
True,True,False,False,False,False,True,True,False,40,1,2.341
True,False,False,True,False,False,False,True,True,40,5,2.9210000000000003
True,False,False,False,True,False,True,False,False,20,9,5.977
True,True,False,False,False,True,True,True,False,40,1,2.338
True,False,False,True,False,True,True,False,True,60,1,2.697
True,False,False,True,False,False,False,True,True,40,1,2.378
True,True,False,False,False,True,True,True,False,40,5,2.886
True,False,False,False,False,True,False,True,False,40,5,2.888
True,False,False,False,True,False,True,True,True,60,1,2.763
True,True,False,True,False,False,True,False,True,40,9,5.372000000000001
True,True,False,False,False,True,True,True,False,40,9,3.386
True,False,False,False,True,False,True,True,True,60,5,3.306
True,False,False,True,False,True,True,False,True,60,9,5.725
True,False,False,True,False,False,False,True,True,40,9,3.415
True,False,False,False,True,False,True,True,True,60,9,3.835
True,False,False,True,False,True,True,False,True,60,5,4.435
True,True,False,True,False,True,False,True,True,40,9,3.219
True,False,False,False,True,True,False,True,False,20,1,2.315
True,True,False,False,True,True,True,False,True,40,5,4.017
True,True,False,True,False,True,False,True,True,40,5,2.637
True,True,False,True,False,True,False,True,True,40,1,2.1830000000000003
True,False,False,False,True,True,False,True,False,20,9,3.4160000000000004
True,False,False,False,True,True,False,True,False,20,5,2.827
True,False,False,True,True,False,True,True,True,40,9,3.92
True,True,False,False,False,False,True,True,False,20,9,3.3710000000000004
True,False,False,False,False,True,False,True,True,60,9,3.604
True,False,False,True,True,False,True,True,True,40,5,3.292
True,False,False,False,False,True,False,True,True,60,5,2.944
True,False,False,False,False,True,False,True,True,60,1,2.506
True,False,False,False,False,True,False,True,False,40,9,3.491
True,True,False,True,False,False,True,False,True,60,1,2.392
True,False,False,True,True,False,True,False,False,20,5,4.569
True,False,False,False,False,True,False,False,False,40,5,3.764
True,True,False,True,False,False,True,False,True,60,5,3.966
True,False,False,False,False,True,False,False,False,40,9,5.147
True,False,False,True,True,False,True,False,False,20,1,2.855
True,True,False,False,False,False,True,True,False,20,5,2.825
True,False,False,True,True,False,True,True,True,40,1,2.8310000000000004
True,False,False,False,True,False,True,False,False,40,1,2.7510000000000003
True,True,False,False,False,False,True,True,False,20,1,2.3280000000000003
True,True,False,False,True,True,True,False,True,40,1,2.385
True,False,False,True,True,False,True,False,False,20,9,5.892
True,False,False,False,True,False,True,False,False,40,5,4.501
True,False,False,False,False,True,False,False,False,40,1,2.387
True,False,False,True,False,True,True,True,False,40,5,3.289
True,False,False,True,False,False,False,True,True,20,5,2.756
True,False,False,True,False,True,True,True,False,40,9,3.833
True,True,False,False,True,True,True,False,False,40,1,2.454
True,False,False,True,False,False,False,True,True,20,1,2.236
True,True,False,False,False,True,True,False,True,60,1,2.335
True,True,False,True,False,False,True,False,True,20,5,3.936
True,False,False,True,True,False,False,True,True,20,9,3.404
True,True,False,False,False,True,True,False,True,60,5,3.963
True,False,False,True,False,False,False,True,True,20,9,3.301
True,True,False,True,False,False,True,False,True,20,9,5.357
True,True,False,True,False,True,False,True,True,60,9,3.321
True,False,False,False,True,True,False,False,True,40,1,2.544
True,True,False,True,False,True,False,True,True,60,5,2.747
True,False,False,False,False,False,False,False,False,40,1,2.345
True,True,False,True,False,True,False,True,True,60,1,2.297
True,False,False,False,False,False,False,False,False,40,5,3.644
True,True,False,True,True,True,True,True,False,40,5,2.966
True,False,False,True,True,False,True,False,True,40,1,2.849
True,True,False,True,True,False,False,False,True,60,9,4.887
True,False,False,False,True,True,False,False,True,20,5,3.825
True,False,False,False,False,False,False,False,False,40,9,4.989
True,False,False,False,False,False,False,True,True,60,1,2.489
True,True,False,True,True,True,True,True,False,40,1,2.45
True,False,False,False,False,True,False,True,True,40,9,3.444
True,True,False,True,True,False,False,False,True,60,5,3.651
True,False,False,False,True,True,False,False,True,20,1,2.329
True,False,False,False,False,False,False,True,True,60,5,2.904
True,False,False,False,False,True,False,True,True,40,5,2.926
True,True,False,True,False,False,False,False,True,40,5,3.355
True,True,False,True,True,False,False,False,True,60,1,2.391
True,False,False,False,False,False,False,True,True,60,9,3.418
True,False,False,False,False,True,False,True,True,40,1,2.394
True,True,False,False,True,True,True,True,True,60,9,3.392
True,False,False,False,True,True,False,False,True,20,9,5.15
True,True,False,False,False,True,True,False,True,60,9,5.289
True,True,False,True,False,False,True,False,True,40,1,2.407
True,False,False,False,False,True,False,False,False,20,5,3.625
True,True,False,False,True,True,True,True,True,60,5,2.892
True,True,False,True,False,False,True,False,True,40,5,3.933
True,True,False,False,True,True,False,True,True,20,1,2.083
True,False,False,False,False,True,False,False,False,20,9,4.974
True,True,False,False,True,True,True,True,True,60,1,2.444
True,True,False,False,True,True,True,False,False,40,5,4.149
True,False,False,False,False,True,False,False,False,20,1,2.199
True,True,False,True,True,True,True,True,False,40,9,3.5
True,True,False,False,True,True,True,False,False,40,9,5.511
True,False,False,True,False,True,True,True,False,60,1,2.781
True,False,False,True,False,True,True,True,False,20,1,2.721
True,True,False,True,False,True,False,True,False,60,9,3.322
True,False,False,True,False,True,True,True,False,20,5,3.362
True,False,False,True,False,True,True,True,True,60,1,2.676
True,False,False,True,True,False,False,True,True,20,5,2.879
True,True,False,True,False,True,False,True,False,60,5,2.6910000000000003
True,True,False,True,False,True,False,True,False,60,1,2.333
True,False,False,True,False,True,True,True,False,20,9,3.958
True,True,False,False,False,True,True,False,True,40,1,2.345
True,False,False,True,True,True,False,False,False,60,9,5.352
True,False,False,False,False,False,False,False,False,60,1,2.472
True,False,False,False,True,True,False,False,True,60,1,2.589
True,False,False,False,False,False,False,False,False,60,5,3.757
True,True,False,True,True,False,False,False,True,20,9,4.782
True,False,False,False,False,True,False,True,True,20,9,3.406
True,False,False,False,False,True,False,True,False,40,1,2.377
True,True,False,True,True,False,False,False,True,40,9,4.7189999999999985
True,False,False,False,True,True,False,False,True,40,9,5.308
True,False,False,False,False,False,False,False,False,60,9,4.931
True,True,False,True,True,True,True,True,False,60,9,3.5610000000000004
True,False,False,False,False,True,False,True,True,20,5,2.732
True,True,False,True,True,False,False,False,True,40,5,3.4730000000000003
True,False,False,False,True,True,False,False,True,40,5,4.001
True,True,False,True,True,True,True,True,False,60,5,2.95
True,False,False,False,False,True,False,True,True,20,1,2.219
True,True,False,False,True,True,True,True,True,40,9,3.489
True,True,False,True,False,False,False,False,True,40,1,2.156
True,True,False,True,True,False,False,False,True,40,1,2.281
True,True,False,True,True,True,True,True,False,60,1,2.506
True,True,False,False,True,True,True,True,True,40,5,2.87
True,True,False,False,False,False,True,True,False,60,1,2.332
True,True,False,False,True,True,True,True,True,40,1,2.45
True,True,False,False,False,True,True,False,True,40,5,4.0310000000000015
True,True,False,False,True,True,True,False,False,20,9,5.473
True,True,False,False,False,True,True,False,True,40,9,5.307
True,True,False,True,False,False,True,False,True,20,1,2.322
True,True,False,False,False,False,True,True,False,60,9,3.3560000000000003
True,False,False,False,True,False,False,False,False,20,9,5.134
